AD,label_x:1.5762357,label_y:42.5506596
ES,label_x:-3.242865,label_y:41.349148
BE,label_x:4.7006952,label_y:50.6162525
NL,label_x:5.6735911,label_y:52.637082
GB,label_x:-1.9790574,label_y:54.2605819
FR,label_x:2.1787414,label_y:46.2636145
IE,label_x:-7.9298374,label_y:53.4224333
DE,label_x:10.4573474,label_y:51.2094391
IT,label_x:12.5926838,label_y:42.6729993
AT,label_x:14.8448323,label_y:47.6479998
CH,label_x:8.4164954,label_y:46.9101275
DK,label_x:10.0746804,label_y:55.9562417
NO,label_x:8.8815986,label_y:61.461553
SE,label_x:15.349523,label_y:62.6877826
FI,label_x:26.6235334,label_y:64.017562
EE,label_x:25.3943711,label_y:58.6744186
LV,label_x:24.915373,label_y:56.8564963
LT,label_x:23.8967029,label_y:55.3364383
BY,label_x:28.1438671,label_y:53.5182361
PL,label_x:18.7065019,label_y:52.2235778
CZ,label_x:15.3451304,label_y:49.7247107
SI,label_x:14.987427,label_y:46.1384616
HR,label_x:15.7386357,label_y:45.3340211
BA,label_x:18.1171504,label_y:44.1221298
HU,label_x:19.3758674,label_y:47.0450584
SK,label_x:19.6729402,label_y:48.7461189
UA,label_x:31.7221141,label_y:48.9073723
MD,label_x:28.366633,label_y:47.5050031
RO,label_x:26.1115229,label_y:44.4454409
RS,label_x:20.9064011,label_y:44.0156648
BG,label_x:25.4127181,label_y:42.6685653
ME,label_x:19.2230849,label_y:42.8045083
AL,label_x:19.8162348,label_y:41.3281167
GR,label_x:22.4313471,label_y:38.8948223
MK,label_x:21.7313965,label_y:41.6381916
MT,label_x:14.4138667,label_y:35.9489455
CY,label_x:33.4333564,label_y:35.1301257
TR,label_x:35.1245818,label_y:39.0614154
PT,label_x:-8.0031407,label_y:39.3062847
LU,label_x:6.1088007,label_y:49.7823482
LI,label_x:9.5409521,label_y:47.1602822
MC,label_x:7.41667,label_y:43.73333
RU,label_x:96.7148551,label_y:61.9874292
GE,label_x:43.3242669,label_y:42.0501701
AM,label_x:44.6297789,label_y:40.2935696
AZ,label_x:47.7729738,label_y:40.3529544
IR,label_x:53.4877657,label_y:32.8152734
IQ,label_x:42.8029174,label_y:33.1392665
SY,label_x:37.1259628,label_y:36.2166629
IL,label_x:34.7753658,label_y:32.0740331
JO,label_x:36.3921209,label_y:31.1257301
SA,label_x:46.7101739,label_y:24.6381917
YE,label_x:47.6664502,label_y:15.7440855
QA,label_x:51.2175358,label_y:25.525388
KW,label_x:47.6335785,label_y:29.3607754
AE,label_x:55.3075832,label_y:25.2692329
OM,label_x:56.3815345,label_y:20.0227851
AF,label_x:65.658159,label_y:33.8286852
TM,label_x:59.0936668,label_y:39.2400854
UZ,label_x:63.1798864,label_y:41.8340514
TJ,label_x:70.7300987,label_y:38.7025745
KG,label_x:74.5552227,label_y:41.4640248
PK,label_x:69.3650837,label_y:30.3351274
IN,label_x:78.8918055,label_y:23.0411726
BD,label_x:90.2832206,label_y:23.7955721
NP,label_x:84.0188694,label_y:27.9528571
BT,label_x:90.434764,label_y:27.4168801
MM,label_x:96.2536777,label_y:21.1245849
LA,label_x:102.6321497,label_y:19.5415337
TH,label_x:101.5200525,label_y:15.6603923
KH,label_x:104.9103991,label_y:12.6940934
VN,label_x:108.3680998,label_y:13.3186546
MY,label_x:101.6275459,label_y:3.1010333
ID,label_x:119.854142,label_y:-3.1049764
PH,label_x:121.0242965,label_y:14.4359473
CN,label_x:104.165802,label_y:35.8600198
KP,label_x:126.5497925,label_y:39.9300339,name:North Korea
KR,label_x:127.8558413,label_y:36.4583508,name:South Korea
JP,label_x:136.690816,label_y:35.672792
